N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
74,LG유플러스,"13,000","13,000",상승130,+1.01%,"5,000","56,759","436,611",35.81,"947,750",15.15,4.40
75,한화솔루션,"32,700","32,700",상승50,+0.15%,"5,000","56,209","171,893",14.13,"1,968,573",-4.06,-15.99
76,맥쿼리인프라,"11,530","11,530",보합0,0.00%,0,"55,220","478,922",9.19,"329,503",N/A,N/A
77,현대차2우B,"153,600","153,600","상승2,300",+1.52%,"5,000","54,926","35,759",59.24,"45,135",3.34,N/A
78,LG씨엔에스,"55,000","55,000",상승200,+0.36%,500,"53,287","96,886",1.18,"149,880",13.16,18.32
79,NH투자증권,"15,780","15,780",상승460,+3.00%,"5,000","51,678","327,492",16.76,"576,777",7.99,8.73
80,LG생활건강,"323,500","323,500","하락3,000",-0.92%,"5,000","50,525","15,618",28.35,"17,488",30.30,3.44
81,TIGER CD금리투자KIS(합성),"56,040","56,040",보합0,0.00%,0,"50,158","89,504",0.01,"78,511",N/A,N/A
82,한국타이어앤테크놀로지,"40,100","40,100","상승1,050",+2.69%,500,"49,674","123,875",36.78,"161,034",4.46,10.79
83,효성중공업,"532,000","532,000","상승14,000",+2.70%,"5,000","49,607","9,325",15.84,"30,138",22.28,14.90
84,오리온,"124,200","124,200","하락2,700",-2.13%,500,"49,104","39,536",29.23,"54,542",9.36,16.57
85,현대건설,"43,850","43,850","상승2,650",+6.43%,"5,000","48,830","111,356",21.18,"723,097",-29.23,-2.09
86,삼성증권,"54,400","54,400","상승1,400",+2.64%,"5,000","48,579","89,300",30.62,"242,035",5.40,12.89
87,한국금융지주,"87,000","87,000","상승2,800",+3.33%,"5,000","48,482","55,726",38.94,"162,685",5.15,11.54
88,삼성카드,"41,700","41,700",하락300,-0.71%,"5,000","48,313","115,859",6.49,"25,365",7.27,8.00
89,TIGER 미국나스닥100,"127,200","127,200","상승2,305",+1.85%,0,"47,891","37,650",0.13,"151,512",N/A,N/A
90,두산밥캣,"47,950","47,950",상승600,+1.27%,500,"45,963","95,856",35.31,"57,412",8.53,8.77
91,LS,"138,500","138,500","상승3,100",+2.29%,"5,000","44,597","32,200",14.16,"111,748",18.79,5.09
92,넷마블,"50,800","50,800",하락700,-1.36%,100,"43,664","85,954",24.99,"106,222",170.47,0.49
93,LG디스플레이,"8,620","8,620",상승170,+2.01%,"5,000","43,100","500,000",20.22,"500,342",-1.59,-37.21
94,KODEX 미국S&P500,"18,375","18,375",상승240,+1.32%,0,"42,492","231,250",0.11,"1,176,323",N/A,N/A
95,카카오페이,"29,400","29,400",보합0,0.00%,500,"39,596","134,680",37.58,"97,351",-288.24,-0.73
96,삼성E&A,"20,150","20,150",상승330,+1.66%,"5,000","39,494","196,000",43.76,"303,841",5.22,19.65
97,KODEX KOFR금리액티브(합성),"110,240","110,240",상승10,+0.01%,0,"38,483","34,908",0.00,"148,789",N/A,N/A
98,에이피알,"102,400","102,400",하락300,-0.29%,100,"38,381","37,482",21.22,"452,331",36.03,41.34
99,CJ,"130,100","130,100","상승1,700",+1.32%,"5,000","37,959","29,177",11.22,"77,416",46.18,1.83
100,한화,"49,950","49,950","하락2,050",-3.94%,"5,000","37,442","74,959",15.86,"217,393",6.31,7.19
101,CJ제일제당,"248,000","248,000","하락1,000",-0.40%,"5,000","37,334","15,054",22.19,"9,999",27.42,1.97
102,SKC,"98,100","98,100","상승1,700",+1.76%,"5,000","37,149","37,868",14.64,"64,398",-8.38,-34.34
103,에코프로머티,"52,800","52,800",상승800,+1.54%,500,"36,924","69,932",23.06,"149,014",-85.44,-5.56
104,GS,"39,250","39,250",상승500,+1.29%,"5,000","36,469","92,915",17.38,"89,780",6.55,4.12
105,현대차우,"152,600","152,600","상승2,200",+1.46%,"5,000","36,429","23,872",60.87,"33,940",3.31,N/A
106,포스코DX,"23,950","23,950",상승100,+0.42%,500,"36,412","152,035",2.88,"178,750",41.36,17.92
107,현대오토에버,"132,500","132,500","상승2,200",+1.69%,500,"36,337","27,424",1.90,"21,497",21.27,10.40
108,키움증권,"144,900","144,900","상승2,400",+1.68%,"5,000","35,467","24,477",26.25,"90,492",4.94,15.98
109,강원랜드,"16,550","16,550",상승40,+0.24%,500,"35,407","213,940",12.89,"125,605",7.75,12.09
110,LG이노텍,"148,100","148,100","상승9,600",+6.93%,"5,000","35,051","23,667",22.91,"149,111",7.80,8.92
111,한국가스공사,"37,900","37,900",상승100,+0.26%,"5,000","34,987","92,313",10.67,"118,271",3.05,11.21
112,한미약품,"269,000","269,000","하락2,500",-0.92%,"2,500","34,462","12,811",12.11,"69,806",28.41,11.89
113,JB금융지주,"17,510","17,510",상승210,+1.21%,"5,000","33,953","193,908",35.72,"169,736",5.05,12.80
114,현대제철,"25,150","25,150",상승600,+2.44%,"5,000","33,562","133,446",18.20,"160,812",-289.08,-0.06
115,BNK금융지주,"10,500","10,500",상승130,+1.25%,"5,000","33,430","318,384",40.89,"429,555",4.63,6.96
116,KODEX 종합채권(AA-이상)액티브,"119,160","119,160",하락40,-0.03%,0,"32,332","27,133",0.00,"29,517",N/A,N/A
117,시프트업,"54,800","54,800",하락500,-0.90%,200,"32,050","58,485",37.76,"63,774",20.17,31.30
118,두산로보틱스,"49,250","49,250","상승1,000",+2.07%,500,"31,924","64,820",1.94,"100,553",-87.32,-8.69
119,엔씨소프트,"147,500","147,500",하락600,-0.41%,500,"31,777","21,544",37.39,"26,376",34.37,2.99
120,SK바이오사이언스,"39,550","39,550",하락750,-1.86%,500,"30,995","78,369",6.61,"41,596",-56.66,-3.07
121,TIGER 미국테크TOP10 INDXX,"21,890","21,890",상승485,+2.27%,0,"30,591","139,750",0.52,"1,598,825",N/A,N/A
122,한화비전,"60,200","60,200","하락2,500",-3.99%,500,"30,394","50,488",18.86,"411,316",94.80,N/A
123,현대엘리베이터,"76,300","76,300",하락400,-0.52%,"5,000","29,827","39,092",28.43,"81,753",16.28,14.42
124,금호석유화학,"112,600","112,600","하락1,200",-1.05%,"5,000","29,793","26,460",17.37,"116,466",9.95,5.88
125,이수페타시스,"40,250","40,250",상승700,+1.77%,"1,000","29,547","73,409",13.95,"663,941",36.07,24.92
126,TIGER KOFR금리액티브(합성),"108,745","108,745",상승10,+0.01%,0,"29,011","26,678",0.00,"25,926",N/A,N/A
127,RISE 머니마켓액티브,"54,140","54,140",보합0,0.00%,0,"28,917","53,412",0.95,"115,935",N/A,N/A
