N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
50,포스코인터내셔널,"48,550",상승200,+0.41%,"5,000","85,411","175,923",6.31,"122,674",16.60,8.14
51,LIG넥스원,"386,500","하락15,500",-3.86%,"5,000","85,030","22,000",31.03,"139,235",38.35,19.59
52,KODEX CD금리액티브(합성),"1,069,545",상승80,+0.01%,0,"83,353","7,793",0.10,"145,933",N/A,N/A
53,유한양행,"103,900","하락3,300",-3.08%,"1,000","83,337","80,209",18.16,"286,416",119.56,3.41
54,대한항공,"22,500",상승450,+2.04%,"5,000","82,850","368,221",17.47,"701,421",6.31,13.17
55,한화시스템,"43,500","하락3,350",-7.15%,"5,000","82,180","188,919",7.57,"2,157,481",18.09,19.63
56,현대글로비스,"108,800","상승2,100",+1.97%,500,"81,600","75,000",49.32,"105,173",7.46,13.24
57,한미반도체,"83,100","상승5,700",+7.36%,100,"80,286","96,614",8.30,"1,270,989",52.83,27.43
58,TIGER 미국S&P500,"19,965",상승265,+1.35%,0,"79,251","396,950",0.06,"1,425,440",N/A,N/A
59,HD현대마린솔루션,"163,100","하락6,700",-3.95%,500,"73,116","44,829",29.06,"104,194",30.76,44.98
60,아모레퍼시픽,"124,200","하락1,300",-1.04%,500,"72,648","58,493",23.90,"144,375",14.46,11.69
61,삼양식품,"964,000","하락29,000",-2.92%,"5,000","72,618","7,533",17.20,"24,569",26.70,39.37
62,미래에셋증권,"12,650",상승770,+6.48%,"5,000","72,145","570,316",14.46,"1,397,220",10.29,7.94
63,LS ELECTRIC,"229,750","상승10,250",+4.67%,"5,000","68,925","30,000",22.64,"183,203",28.87,13.44
64,SK바이오팜,"87,600","하락2,800",-3.10%,500,"68,602","78,313",11.17,"262,549",28.50,58.01
65,코웨이,"92,100","상승2,800",+3.14%,500,"66,831","72,564",61.20,"101,047",12.02,19.38
66,HD현대미포,"165,400","하락6,500",-3.78%,"5,000","66,064","39,942",18.68,"258,682",62.60,5.25
67,DB손해보험,"91,800","상승1,600",+1.77%,500,"64,994","70,800",45.88,"104,494",3.51,18.98
68,HD현대,"80,000",상승600,+0.76%,"1,000","63,194","78,993",21.33,"132,010",12.41,6.36
